n,SGD,Bayes,split
366,1.78321997,1.52272337,1.75603261
367,1.78320288,1.5225816,1.7564051200000002
368,1.7831925,1.52423937,1.75833297
369,1.7831632,1.5237525,1.7566933999999998
370,1.78319666,1.5269024400000002,1.76104054
371,1.7832303600000001,1.52601468,1.7616878399999998
372,1.7832384,1.5247829700000002,1.76144774
373,1.78326566,1.52538518,1.76504438
374,1.78327875,1.5245175000000002,1.7641762499999998
375,1.7832702399999998,1.5231759999999999,1.76485752
376,1.7832477,1.5231780200000002,1.7652836500000002
377,1.7832150000000002,1.5237973800000002,1.76671908
378,1.78318742,1.5251642199999997,1.76715951
379,1.7832146000000002,1.5284626,1.7709937999999998
380,1.78318287,1.52553543,1.77132996
381,1.7831568999999998,1.5261205599999998,1.77204834
382,1.78314459,1.52647714,1.77425133
383,1.7831424,1.5251904,1.77353856
384,1.7831313500000001,1.5248541000000002,1.7745034999999998
385,1.7831385800000001,1.5254411200000002,1.77344998
386,1.78316829,1.5277366799999998,1.7751883499999999
387,1.7832169599999999,1.52939512,1.7767722799999999
388,1.7832771399999998,1.52987865,1.7801807
389,1.7833374,1.5289793999999999,1.7816448
390,1.78335882,1.5281609399999998,1.78190821
391,1.78338048,1.5284864,1.78406256
392,1.7833789800000002,1.52779143,1.78329645
393,1.78338584,1.5284087400000002,1.7851943
394,1.7833894499999998,1.52825105,1.7853486499999998
395,1.7833543200000002,1.52720172,1.7849541599999998
396,1.78329224,1.5259092,1.73149565
397,1.7832549199999999,1.5263061199999999,1.7328163799999998
398,1.7832147900000002,1.5249460799999999,1.7326255799999999
399,1.783156,1.52468,1.733744
400,1.78306254,1.5232265699999998,1.73177464
401,1.78295844,1.5225347999999999,1.7308632600000002
402,1.7828639400000001,1.52300148,1.73202952
403,1.7827711999999998,1.52355672,1.73081276
404,1.7826723,1.52417295,1.73144385
405,1.7825308199999998,1.52277202,1.73068462
406,1.78236696,1.52211081,1.7325013200000001
407,1.78222152,1.5236311200000001,1.73773728
408,1.7821070700000001,1.52464566,1.7391947899999998
409,1.7820158000000001,1.5255936,1.7396259
410,1.7819274900000002,1.52494152,1.73794227
411,1.7818176000000001,1.52420636,1.73734632
412,1.78174808,1.5269023,1.74024158
413,1.7816697,1.52581356,1.74017862
414,1.781595,1.52624135,1.73960115
415,1.78152416,1.52602944,1.74114304
416,1.78141983,1.52404326,1.7394195900000002
417,1.7812861,1.52176662,1.7389510600000002
418,1.7811271,1.52139738,1.73830111
419,1.780968,1.5218868,1.7374014000000002
420,1.78083842,1.5239484300000001,1.7397235599999998
421,1.7806754200000001,1.5224367399999998,1.73719676
422,1.7805042899999999,1.52296497,1.73949444
423,1.78036752,1.52621344,1.7426018399999998
424,1.780189,1.52396925,1.7409955
425,1.7800069200000002,1.52338452,1.7399757
426,1.7798299400000002,1.5233950900000002,1.74118644
427,1.7796625199999998,1.5234018,1.7144824
428,1.77948342,1.52179599,1.71348177
429,1.7793142,1.5210561999999999,1.7109269999999999
